price_close,price_high,price_low,price_open,ticker,date
3421.57,3444,3350,3350,AMZN,8/30/2021
2856.12,2930.26,2848.74,2920,GOOG,11/26/2021
3066.99,3089,3016,3044.97,AMZN,2/28/2022
2895.5,2907.05,2870.3,2881.01,GOOG,9/3/2021
2778.32,2779.68,2724,2760.02,GOOG,8/16/2021
3042,3139.77,3017.75,3119,AMZN,2/18/2022
3343.63,3422,3332.42,3356.7,AMZN,9/21/2021
874.36,923.33,871.12,922,TSLA,2/17/2022
1147,1229.99,1123.06,1207,TSLA,1/4/2022
3463.12,3511.61,3453.7,3479.99,AMZN,9/2/2021
2846.52,2897.23,2846.52,2872.68,AMZN,1/23/2022
2775.46,2809.5,2735.8,2751.78,GOOG,10/25/2021
739.38,744.67,730.57,735,TSLA,9/21/2021
3425.52,3428.77,3391.5,3417,AMZN,9/24/2021
2690.42,2759,2686.37,2728.08,GOOG,9/29/2021
1080.13,1170.34,1076.63,1140,TSLA,1/5/2022
926.92,982.39,918.42,982.39,TSLA,12/16/2021
2934.35,2953.54,2904.56,2933.01,GOOG,11/24/2021
2891.74,3057.51,2890.22,3015,AMZN,2/23/2022
3092.98,3206.54,3087.5,3176.92,AMZN,2/17/2022
2647.68,2661.04,2401,2523.9,GOOG,2/24/2022
2650.24,2758.71,2636,2734.04,GOOG,1/20/2022
2904.12,2911.56,2836.05,2836.05,GOOG,9/15/2021
922.88,936.61,881.19,909.04,TSLA,2/4/2022
2600,2656.99,2526.01,2549.95,GOOG,1/26/2022
1229.91,1247,1217,1217,TSLA,11/4/2021
975.99,979.98,928.49,959.39,TSLA,12/15/2021
847.51,850.09,843.26,846.48,TSLA,2/20/2022
869.81,876.75,800.55,806.1,TSLA,2/28/2022
706.3,712.08,680.79,682,TSLA,8/23/2021
2708.06,2719.51,2645.4,2709.77,GOOG,1/31/2022
3466.3,3480,3304.83,3379.99,AMZN,12/15/2021
754.86,761.98,746,749,TSLA,9/9/2021
1088.49,1118.99,1078.5,1095.5,TSLA,12/28/2021
2941.57,3024.86,2940.07,3014.99,GOOG,11/22/2021
3415.06,3441.05,3401.96,3441.05,AMZN,10/21/2021
2738.9,2773.94,2715,2745.03,GOOG,1/7/2022
2984.97,3005,2951.61,2985,GOOG,11/9/2021
3580.41,3612.3,3536.71,3587.11,AMZN,11/24/2021
3509.29,3527.59,3463.78,3477.01,AMZN,9/7/2021
2598,2638.31,2500,2600,GOOG,2/22/2022
2768.74,2772,2725.6,2747.65,GOOG,8/20/2021
2848.3,2856.88,2750.87,2842.01,GOOG,10/21/2021
752.92,760.14,733.13,734.86,TSLA,9/7/2021
2818.77,2829.94,2789.69,2807.63,GOOG,9/22/2021
850.72,889.93,837.6,883.1,TSLA,2/18/2022
665.71,686.79,648.88,685.28,TSLA,8/17/2021
1034.58,1115.71,1026.54,1100.03,TSLA,1/13/2022
1017.03,1021.79,974.2,983.72,TSLA,12/10/2021
2911,3128.93,2905.1,3050,AMZN,2/2/2022
3469.15,3507.7,3462.81,3490,AMZN,9/10/2021
938.53,939.27,886.18,908.99,TSLA,12/21/2021
1083.85,1114.99,1064.31,1099.9,TSLA,12/29/2021
1105,1114.84,1057.17,1062,TSLA,1/12/2022
2848.03,2860,2805.19,2835.55,GOOG,12/20/2021
701.16,715.36,697.68,713.1,TSLA,8/26/2021
1096.38,1110.11,1075.79,1092,TSLA,11/18/2021
1077.04,1088.32,1048,1055.46,TSLA,10/28/2021
1068.96,1078.4,1033.49,1060,TSLA,12/8/2021
908.24,947.66,902.84,916.37,TSLA,2/7/2022
1067.55,1095.53,1055.39,1088.79,TSLA,12/30/2021
3015.53,3060.35,2881.07,3012.07,AMZN,2/22/2022
1172,1222,1122,1222,TSLA,11/2/2021
2897.67,2919.97,2883,2910,GOOG,9/8/2021
1008.87,1015.42,925.01,934,TSLA,12/22/2021
3549,3584.92,3522.58,3522.58,AMZN,11/17/2021
2893.66,2897.84,2889.15,2889.15,AMZN,1/30/2022
2935.14,2953.99,2897.98,2948.51,GOOG,11/23/2021
3172.5,3177.92,3145.53,3154.99,AMZN,2/6/2022
1065.6,1072.92,997.55,1008.8,TSLA,12/23/2021
2922.58,2975,2895.65,2954.9,GOOG,10/28/2021
3437.36,3492,3423.56,3450.01,AMZN,12/2/2021
791.94,800.77,787.5,787.5,TSLA,10/11/2021
3139,3244.92,3012.13,3163.01,AMZN,2/4/2022
2800,2903.99,2745.63,2772.55,AMZN,1/26/2022
2738.27,2749.86,2699.55,2729.57,GOOG,8/19/2021
2875.53,2892.54,2819.2,2859.76,GOOG,12/2/2021
2690.1,2708.08,2635.41,2654.99,GOOG,2/25/2022
875.91,898.87,834.35,859.4,TSLA,2/14/2022
3302.43,3310,3269.73,3269.73,AMZN,10/7/2021
3262.01,3270,3169.13,3222,AMZN,10/6/2021
1084.6,1099.97,1056.6,1099.97,TSLA,12/2/2021
730.91,737.03,712.35,712.35,TSLA,8/30/2021
3545.68,3552.48,3525.17,3525.17,AMZN,11/15/2021
983.71,1041.69,982.55,1003.32,TSLA,1/20/2022
2646.17,2777,2644,2777,GOOG,2/17/2022
818.32,820.24,810.37,814,TSLA,10/14/2021
1059.7,1081.97,1054.56,1067,TSLA,12/31/2021
899.94,935,893.46,927.46,TSLA,12/20/2021
2887.47,2909.89,2871,2896.45,GOOG,9/16/2021
920.74,926.2,894.8,914.97,TSLA,2/8/2022
744.49,754.39,736.5,744.99,TSLA,9/14/2021
837.25,949.7,820.75,946.23,TSLA,1/27/2022
3409.02,3411.7,3304,3305.13,AMZN,10/15/2021
2938.98,2946,2866.07,2899.98,GOOG,12/22/2021
3014.18,3014.18,2945.16,2945.16,GOOG,11/18/2021
2960.73,2968,2883.79,2883.79,GOOG,12/7/2021
2987.76,3012.48,2973.32,2991.85,GOOG,11/15/2021
3504.56,3630.94,3503.19,3580,AMZN,11/26/2021
3245.96,3249.93,3245.96,3249.93,AMZN,1/15/2022
3676.57,3762.16,3670.09,3691,AMZN,11/19/2021
2868.12,2890.35,2859.85,2876.77,GOOG,9/14/2021
680.26,692.13,671.31,671.31,TSLA,8/20/2021
2856.06,2914.97,2837.46,2896.86,GOOG,12/17/2021
2785.01,2798.87,2737.42,2798.87,GOOG,2/8/2022
3152.31,3152.31,3105.98,3146.87,AMZN,2/5/2022
903.5,943.82,896.69,933,TSLA,2/10/2022
2758.93,2877.74,2745,2876.55,AMZN,1/25/2022
2859,2866.18,2832.26,2866.18,GOOG,8/25/2021
3355.73,3457,3305.48,3457,AMZN,9/20/2021
3348.74,3428.6,3326.31,3407.72,AMZN,1/4/2022
2789,2887.3,2774,2870.5,GOOG,2/7/2022
3427.37,3473.51,3339.69,3370.34,AMZN,12/6/2021
2768.12,2774.54,2760.27,2760.27,GOOG,8/13/2021
1097.4,1117.05,1067.52,1068.01,TSLA,12/27/2021
3381.83,3402.75,3328.5,3388,AMZN,12/14/2021
3320.37,3357.94,3298.44,3352,AMZN,10/25/2021
3230.8,3307.68,3126,3280.7,AMZN,1/10/2022
3168.5,3253,3126.28,3126.28,AMZN,2/7/2022
3285.04,3333.5,3273.3,3320.71,AMZN,9/30/2021
2671.13,2672,2542,2599.97,GOOG,1/28/2022
2875.93,2886.33,2813.85,2870,GOOG,12/6/2021
932.57,960.5,903.78,923.5,TSLA,12/17/2021
966.41,1017,951.67,1017,TSLA,12/13/2021
3400.35,3417.38,3312.84,3376,AMZN,12/17/2021
3484.16,3549.22,3480,3520.5,AMZN,9/9/2021
673.47,686.48,667.61,684,TSLA,8/19/2021
1162.94,1196.94,1097.6,1184.87,TSLA,11/8/2021
2802.9,2807.23,2736.7,2769.14,GOOG,1/11/2022
2928.01,2948.61,2910.44,2943.77,GOOG,12/29/2021
3305.78,3315.34,3273,3273,AMZN,8/24/2021
3284.5,3357.99,3283.05,3345,AMZN,1/5/2022
2758,2771.22,2708.03,2708.03,GOOG,10/13/2021
3415.06,3460,3400.66,3441.12,AMZN,10/20/2021
